"construction","primary","mode","form","spec","estimate","std.error","p.value","n_obs"
"rel_dominant|zero",FALSE,"transit","log_wins","D_position_net",-0.0276380319702005,0.0421570473647633,0.518588111764137,493
"rel_dominant|zero",FALSE,"transit","log_wins","ACCESSxSEG",-0.103940754356467,0.0405614243094986,0.0174059523208224,493
"rel_dominant|zero",FALSE,"transit","log_trim","C_network",-0.0127244455090454,0.0396846331945168,0.751378986674273,484
"rel_dominant|zero",FALSE,"transit","log_trim","D_position_net",0.0531877760562609,0.0379587476813211,0.17450390827244,484
"rel_dominant|zero",FALSE,"transit","log_trim","ACCESSxSEG",-0.100719819874432,0.0730442803842127,0.18119314260173,484
"rel_dominant|zero",FALSE,"transit","rank","C_network",-0.064717298686112,0.0581518769793864,0.277247572397331,493
"rel_dominant|zero",FALSE,"transit","rank","D_position_net",0.0868364358044815,0.053812015939375,0.120230097826361,493
"rel_dominant|zero",FALSE,"transit","rank","ACCESSxSEG",-0.148667653775194,0.0632627297066325,0.0277245816359533,493
"rel_dominant|zero",FALSE,"transit","log1p","C_network",-0.0542987808951176,0.0434066117747696,0.222098849015296,646
"rel_dominant|zero",FALSE,"transit","log1p","D_position_net",0.0331759450890639,0.0534226702550976,0.540000461227103,646
"rel_dominant|zero",FALSE,"transit","log1p","ACCESSxSEG",-0.180295862779787,0.0384629544987601,7.66861430315349e-05,646
"rel_dominant|missing",FALSE,"auto","log","C_network",0.0101216751264743,0.0106465542900237,0.350511424596016,646
"rel_dominant|missing",FALSE,"auto","log","D_position_net",0.0903683605713856,0.0246745865257266,0.00112031640662235,646
"rel_dominant|missing",FALSE,"auto","log","ACCESSxSEG",-0.00386179761353461,0.0109449977034695,0.727055293446175,646
"rel_dominant|missing",FALSE,"auto","log_wins","C_network",-0.115004265555833,0.014648950427841,2.51382488513988e-08,646
"rel_dominant|missing",FALSE,"auto","log_wins","D_position_net",0.0118785631110483,0.0610526708207804,0.847247716232448,646
"rel_dominant|missing",FALSE,"auto","log_wins","ACCESSxSEG",-0.130749122781743,0.0183178281541092,1.40046824111052e-07,646
"rel_dominant|missing",FALSE,"auto","log_trim","C_network",-0.0410001963361765,0.0214294095577621,0.0667859572877134,644
"rel_dominant|missing",FALSE,"auto","log_trim","D_position_net",0.0640359575527327,0.0373988504419544,0.0987557808950459,644
"rel_dominant|missing",FALSE,"auto","log_trim","ACCESSxSEG",-0.0568457316048386,0.0204706416996614,0.0100420041683881,644
"rel_dominant|missing",FALSE,"auto","rank","C_network",-0.22526975433082,0.0670644932400866,0.00242235356296655,646
"rel_dominant|missing",FALSE,"auto","rank","D_position_net",-0.0244413255049056,0.10407632466368,0.816172293630425,646
"rel_dominant|missing",FALSE,"auto","rank","ACCESSxSEG",-0.28884599731837,0.061977520399644,8.2358739179756e-05,646
"rel_dominant|missing",FALSE,"auto","log1p","C_network",0.010017305490314,0.0106517960306526,0.355651200024983,646
"rel_dominant|missing",FALSE,"auto","log1p","D_position_net",0.0903750703383197,0.0247092636181274,0.00113440184847022,646
"rel_dominant|missing",FALSE,"auto","log1p","ACCESSxSEG",-0.00397586519090259,0.0109508025706979,0.719490644803026,646
"rel_dominant|missing",FALSE,"transit","log","C_network",-0.0443692294052297,0.0272141665968567,0.116642661498857,493
"rel_dominant|missing",FALSE,"transit","log","D_position_net",-0.0541750413261458,0.0283335666892594,0.0684063343056988,493
"rel_dominant|missing",FALSE,"transit","log","ACCESSxSEG",-0.0789992639481236,0.0272068267299908,0.00800344547989722,493
"rel_dominant|missing",FALSE,"transit","log_wins","C_network",-0.0357093225190607,0.0291262915260233,0.232597594544294,493
"rel_dominant|missing",FALSE,"transit","log_wins","D_position_net",-0.030463043390584,0.0306558606224443,0.330704051821086,493
"rel_dominant|missing",FALSE,"transit","log_wins","ACCESSxSEG",-0.08921674247233,0.0308733013419575,0.0082658012737989,493
"rel_dominant|missing",FALSE,"transit","log_trim","C_network",0.00965576796348253,0.0301366001300304,0.751557848258172,491
"rel_dominant|missing",FALSE,"transit","log_trim","D_position_net",0.0171266930068083,0.0303922429099601,0.578532947848523,491
"rel_dominant|missing",FALSE,"transit","log_trim","ACCESSxSEG",-0.0464000535518887,0.0145641106470133,0.00411475191857348,491
"rel_dominant|missing",FALSE,"transit","rank","C_network",-0.0490036059828002,0.037632710807804,0.205753636406892,493
"rel_dominant|missing",FALSE,"transit","rank","D_position_net",-0.00999386581243678,0.0376826771419128,0.793209331413346,493
"rel_dominant|missing",FALSE,"transit","rank","ACCESSxSEG",-0.126685121987375,0.0403692664732196,0.00461054008961602,493
"rel_dominant|missing",FALSE,"transit","log1p","C_network",-0.0443586108420966,0.0272179112189766,0.116773260226634,493
"rel_dominant|missing",FALSE,"transit","log1p","D_position_net",-0.05415155589514,0.0283414426908149,0.068589347787287,493
"rel_dominant|missing",FALSE,"transit","log1p","ACCESSxSEG",-0.0790034832871966,0.027212773798497,0.00801237139008496,493
